,單位家數單位家數,提繳人數,平均提繳工資,應計提繳金額,實計核發退休金_一次退休金_件數,實計核發退休金_一次退休金_金額,實計核發退休金_月退休金_件數,實計核發退休金_月退休金_件數_首發,實計核發退休金_月退休金_金額
總計,492842,6395674,36825,184984655,107490,17810457,81,24,27223
新北市,87598,913851,34739,24227625,22192,3603255,5,1,1594
臺北市,100756,1765112,42830,60412909,14148,3206136,6,1,7777
桃園市,42733,612823,37278,17476007,10269,1626413,0,0,0
臺中市,77441,786585,30771,18330685,12060,1704163,2,1,632
臺南市,34091,431871,31669,10495867,7318,1110354,5,1,1048
高雄市,53443,616424,32210,15737086,13817,2480153,54,13,14808
宜蘭縣,5300,56593,30077,1349960,1780,251070,0,0,0
新竹縣,8908,210641,47940,8111388,2321,408465,2,2,747
苗栗縣,6660,87451,35766,2603869,2331,414489,0,0,0
彰化縣,25185,245756,28411,5332954,4095,574089,0,0,0
南投縣,5188,56849,30146,1380630,1713,202145,1,1,20
雲林縣,6428,87216,34217,2518041,1689,218006,1,1,80
嘉義縣,4548,58048,29619,1402093,1517,186998,0,0,0
屏東縣,7557,78435,28074,1727366,3276,407825,4,3,413
臺東縣,2348,19628,28566,473594,1160,104006,0,0,0
花蓮縣,4632,42106,30439,1080890,1875,236887,0,0,0
澎湖縣,775,6548,28644,167767,305,40983,0,0,0
基隆市,4370,38262,34178,1045775,2476,423772,0,0,0
新竹市,8988,228231,53141,9778452,1914,389866,1,0,104
嘉義市,4862,43589,29396,1058750,1011,185407,0,0,0
金門縣,880,8585,31590,242108,196,33120,0,0,0
連江縣,151,1070,33518,30839,27,2853,0,0,0
