,總計_單位,總計_人數,農、林、漁、牧業_單位,農、林、漁、牧業_人數,礦業及土石採取業_單位,礦業及土石採取業_人數,製造業_單位,製造業_人數,電力及燃氣供應業_單位,電力及燃氣供應業_人數,用水供應及污染整治業_單位,用水供應及污染整治業_人數,營建工程業_單位,營建工程業_人數,批發及零售業_單位,批發及零售業_人數,運輸及倉儲業_單位,運輸及倉儲業_人數,住宿及餐飲業_單位,住宿及餐飲業_人數,出版、影音製作、傳播及資通訊服務業_單位,出版、影音製作、傳播及資通訊服務業_人數,金融及保險業_單位,金融及保險業_人數,不動產業_單位,不動產業_人數,專業、科學及技術服務業_單位,專業、科學及技術服務業_人數,支援服務業_單位,支援服務業_人數,公共行政及國防；強制性社會安全_單位,公共行政及國防；強制性社會安全_人數,教育業_單位,教育業_人數,醫療保健及社會工作服務業_單位,醫療保健及社會工作服務業_人數,藝術、娛樂及休閒服務業_單位,藝術、娛樂及休閒服務業_人數,其他服務業_單位,其他服務業_人數
總計,492842,6395674,1264,12362,340,3078,91248,2038750,322,17953,3325,31876,41823,277505,177301,1490473,9243,205160,23609,328255,10450,209562,7005,282182,13302,95241,31683,293646,13722,282027,1887,55960,16579,226951,25859,360179,3137,41211,20743,143303
1~2人,184390,258732,535,767,120,164,25275,36276,76,110,1531,2094,18446,25470,73515,102437,2808,3997,6215,8970,3659,5068,2957,3921,6451,9084,13704,19194,4795,6761,630,873,3439,5039,8367,12466,1130,1565,10737,14476
3~4人,96077,329276,265,906,62,215,15928,54860,37,124,626,2145,8388,28684,36057,123365,1632,5614,4276,14788,1857,6348,929,3154,2910,9883,7001,23951,2558,8775,224,758,2743,9517,6151,21146,575,1948,3858,13095
5~9人,104289,684693,217,1396,78,521,20101,133636,48,331,606,4002,8485,55258,37802,246885,2086,13827,5953,39715,1956,12914,761,5058,2278,14524,6279,40684,2776,18146,221,1455,4242,28572,6259,40470,554,3642,3587,23657
10~19人,59564,797621,123,1650,57,767,14365,194718,49,708,342,4601,4169,55440,18513,245507,1460,19602,4034,54153,1378,18778,909,13004,957,12568,2720,35791,1612,21732,210,3028,3519,47534,3356,44400,374,5066,1417,18574
20~29人,19046,453168,48,1176,11,262,5261,125485,18,429,80,1899,1138,26984,5047,119989,492,11816,1435,34181,485,11537,552,13096,299,7046,808,19024,581,13941,166,3973,1402,33325,672,15829,160,3843,391,9333
30~39人,8602,292222,12,415,3,107,2682,91326,9,295,38,1270,448,15242,2045,69376,191,6480,654,22209,271,9195,269,9130,130,4443,314,10715,303,10330,109,3705,584,19627,274,9252,85,2934,181,6171
40~49人,5045,222307,14,642,3,130,1633,71945,5,220,21,909,227,10023,1183,52144,126,5570,327,14384,161,7127,191,8452,73,3212,210,9225,216,9549,66,2921,251,10919,141,6237,75,3310,122,5388
50~99人,8840,601482,31,2213,3,209,3226,220733,25,1761,46,3372,362,24403,1876,126992,207,14618,418,27792,370,25937,227,14218,123,8362,373,25331,400,27636,163,10920,239,15738,307,21079,134,8710,310,21458
100~199人,3794,526845,15,1991,2,311,1536,214698,20,2768,11,1494,106,14156,743,102468,98,13788,160,22563,174,23947,82,11529,47,6377,152,21183,238,33102,57,7833,85,12156,136,18907,31,4346,101,13228
200~299人,1230,296904,2,491,0,0,473,114319,17,3990,15,3663,27,6373,222,53145,46,10999,65,16220,44,10665,29,6847,17,4175,41,9683,92,22203,22,5414,29,7174,53,13017,14,3388,22,5138
300~399人,588,201702,2,671,1,391,222,75599,13,4466,3,1041,4,1409,106,36411,27,9485,32,11133,29,10038,14,4509,6,2183,29,9934,41,13999,11,3817,14,4706,28,9785,1,358,5,1767
400~499人,322,142949,0,0,0,0,122,54332,3,1352,1,443,10,4565,52,22771,19,8453,11,4865,17,7556,6,2637,4,1821,13,5845,30,13165,1,466,11,4956,16,7053,3,1298,3,1371
500~999人,603,415058,0,0,0,0,253,174357,2,1392,3,1788,12,8336,85,57078,26,18328,18,11075,31,21324,38,27597,4,2441,15,10361,52,36065,0,0,12,8612,46,32127,1,748,5,3429
1000~1999人,293,410420,0,0,0,0,108,148571,0,0,2,3152,1,1120,35,44994,18,25825,6,8688,14,20860,21,30611,0,0,13,18102,24,35609,7,10797,7,9536,33,46714,0,0,4,5841
2000~2999人,68,167459,0,0,0,0,29,70492,0,0,0,0,0,0,7,16972,0,0,1,2069,1,2840,6,16109,2,5260,6,14261,3,7255,0,0,1,2974,12,29227,0,0,0,0
3000~3999人,31,108137,0,0,0,0,8,27830,0,0,0,0,0,0,5,16843,2,6870,0,0,1,3950,5,17615,1,3837,3,9671,1,3730,0,0,0,0,5,17791,0,0,0,0
4000~4999人,22,98500,0,0,0,0,10,45407,0,0,0,0,0,0,4,17935,2,8444,2,9669,0,0,1,4222,0,0,1,4347,0,0,0,0,0,0,2,8476,0,0,0,0
5000~9999人,29,188183,0,0,0,0,11,71224,0,0,0,0,0,0,3,19532,3,21389,1,5053,2,11428,6,40568,0,0,1,6295,0,0,0,0,1,6517,1,6177,0,0,0,0
10000~19999人,3,42798,0,0,0,0,2,27244,0,0,0,0,0,0,1,15554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000人以上,6,156131,0,0,0,0,3,85626,0,0,0,0,0,0,0,0,0,0,1,20651,0,0,2,49854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他,0,1087,0,44,0,1,0,72,0,7,0,3,0,42,0,75,0,55,0,77,0,50,0,51,0,25,0,49,0,29,0,0,0,49,0,26,0,55,0,377
