,總計_單位數,總計_人數,農、林、漁、牧業_單位數,農、林、漁、牧業_人數,礦業及土石採取業_單位數,礦業及土石採取業_人數,製造業_單位數,製造業_人數,水電燃氣業_單位數,水電燃氣業_人數,營造業_單位數,營造業_人數,批發零售及餐飲業_單位數,批發零售及餐飲業_人數,運輸、倉儲及通信業_單位數,運輸、倉儲及通信業_人數,金融、保險及不動產業_單位數,金融、保險及不動產業_人數,工商服務業_單位數,工商服務業_人數,社會服務及個人服務業_單位數,社會服務及個人服務業_人數,公共行政業_單位數,公共行政業_人數
81年底Endof1992,333582,7708868,2210,269813,782,13658,117129,3076198,216,33066,24871,748458,125498,1348836,8406,568856,23980,483978,,,30490,1166005,,
82年底Endof1993,368803,8144183,2163,281131,873,14192,121874,3130810,216,32785,29462,847161,140820,1465316,8964,586579,28987,535841,,,35444,1250368,,
83年底Endof1994,400137,8496883,2270,288429,902,13651,124120,3161729,218,32062,33649,914187,153223,1528824,8974,591056,12931,317470,20426,274270,40862,1274477,2562,100728
84年底Endof1995,386206,7635063,2088,272027,818,11279,119901,2864376,219,31510,33515,793186,147495,1310625,9061,544085,12459,315580,20191,244056,37902,1148155,2557,100184
85年底Endof1996,379065,7434299,2002,278707,746,10271,115331,2786830,218,30397,32828,736981,146348,1275283,9270,527639,11854,321811,20425,242060,37467,1122436,2576,101884
86年底Endof1997,381231,7500917,1917,286688,708,10338,113006,2803502,222,29997,33160,722238,148465,1297616,9542,522130,12036,342748,21435,258737,38103,1109747,2637,117176
87年底Endof1998,385402,7597386,1858,301482,706,8464,111054,2788895,227,29645,34342,722882,150391,1324682,9816,521719,11843,365004,22898,284220,39842,1137945,2425,112448
88年底Endof1999,390599,7738971,1772,314676,701,8108,109448,2831181,232,29434,35357,711285,153070,1361790,10122,522838,11406,374210,24478,310187,41563,1161769,2450,113493
89年底Endof2000,398027,7915789,1750,326154,648,7341,108437,2863182,236,29598,36133,694087,156205,1415559,10382,531573,10996,380347,27008,359344,43714,1190696,2518,117908
90年底Endof2001,399303,7779127,1739,341439,604,6360,105933,2690549,245,29021,35971,676786,157102,1406212,10586,523369,10472,373678,27865,371024,45868,1223069,2918,137620
