年別,應計保險費,實收保險費(1)ˉ,屆繳實收保險費,屆繳實收保險費_屆繳實收率(%),實計保險給付金額
69年1980,10182044,...,...,...,8231107
70年1981,13379680,...,...,...,11626083
71年1982,15342359,...,...,...,15024701
72年1983,18386839,...,...,...,17799425
73年1984,23912773,...,...,...,22283706
74年1985,28175862,...,...,...,28200943
75年1986,32422938,...,...,...,30920294
76年1987,39127386,37215769,23092135,59.02,38435166
77年1988,48389170,46149749,37966568,78.46,42446510
78年1989,61024200,59545685,46152348,75.63,53488063
79年1990,72999235,68885992,55250585,75.69,56667223
80年1991,86453628,83228756,64841440,75,65808939
81年1992,104205360,98806780,76748528,73.65,96502092
82年1993,123089614,117594604,95859695,77.88,103241626
83年1994,138456170,138072674,108677895,78.49,128346763
84年1995,134902524,134734008,102004293,75.61,138442672
85年1996,129408646,127460844,97236428,75.14,68898093
86年1997,135381193,132981323,105131109,77.66,71811502
87年1998,144495996,141421299,107768736,74.58,89249883
88年1999,141303647,134937155,108423129,76.73,102437111
89年2000,148968568,146409286,122020812,81.91,107018651
90年2001,151779807,152465098,123661084,81.47,129838422
91年2002,152578159,145752566,123999974,81.27,168811914
92年2003,140484702,137804220,111586884,79.43,139583169
93年2004,146421455,141464675,115643023,78.98,148899135
94年2005,150870801,144483235,121606565,80.6,187880522
95年2006,157918062,152015463,127681734,80.85,173553028
96年2007,164025898,158221918,132213630,80.61,193521329
97年2008,167751825,161087499,130774433,77.96,358294534
98年2009,198280835,182913114,137297965,69.24,140656106
99年2010,207149561,200595469,160358479,77.41,131334290
100年2011,234167082,226895849,184354219,78.73,144482003
101年2012,260174543,266224969,214065285,82.28,262690503
102年2013,276917214,291696419,235581058,85.07,280025032
103年2014,300775008,309335617,256984601,85.44,248740631
104年2015,326794816,323026462,279371325,85.49,282450879
105年2016,335958686,340651699,285537892,84.99,325949339
