地區別,總計,農、林、漁、牧業,礦業及土石採取業,製造業,電力及燃氣供應業,污染整治業,營建工程業,批發及零售業,運輸及倉儲業,住宿及餐飲業
總計,325949339,14088527,293941,103727803,1568667,2208442,38790630,38651596,26463736,13770768
新北市,49406702,1691431,4173,18958285,169786,153393,3304136,7020463,4442606,2105027
臺北市,66182971,618383,11711,12399930,359121,275583,6602219,12296070,5433951,2910663
桃園市,25063570,261218,7373,10460343,98278,146138,2632487,2983745,1746246,685111
臺中市,30860165,866798,23608,10982953,159529,148216,3803937,4105799,2102042,1007255
臺南市,21276269,1770745,1319,8221410,83621,129951,2181629,2256494,1178578,853165
高雄市,40210471,2221548,9824,12149518,225156,766754,5180460,4307945,3350558,2088469
宜蘭縣,9546776,875548,57130,3291197,6064,79764,1710034,386544,932037,319266
新竹縣,6684187,55066,6469,2715295,5573,15577,1053467,463005,259152,190743
苗栗縣,6329942,283385,111694,2385540,78349,11535,904132,325843,473039,264603
彰化縣,13870550,836189,7314,5583674,47201,70542,1946866,1248814,1072386,463274
南投縣,6554080,243273,9088,2462890,58879,62152,1103308,259210,633809,315208
雲林縣,8402017,1090822,2070,2999129,49615,9480,1231292,324920,688354,293249
嘉義縣,3127369,796993,2234,1124496,1256,16590,181611,257024,50920,15614
屏東縣,8261872,811712,6282,1518459,52246,30665,2035799,450522,658903,720708
臺東縣,1902332,199422,3759,317730,809,17935,400013,146528,205346,145692
花蓮縣,5078702,150542,28040,1380065,14562,113042,1068562,317125,328988,299667
澎湖縣,1070620,427077,0,237363,14269,6111,130605,39053,75026,45919
基隆市,8495084,250807,657,2466965,85514,80063,1113247,426329,1516224,221910
新竹市,7228532,450066,961,2547853,25532,46220,874221,566292,644483,297547
嘉義市,5721681,103235,61,1400031,20995,24755,1246777,442736,558042,498195
金門縣,531299,80542,174,120189,8903,3097,78652,25137,81374,28252
連江縣,72915,3723,0,4491,3408,879,7173,1996,31672,1230
