地區別,出版、影音製作、傳播及資通訊服務業,金融及保險業,不動產業,專業、科學及技術服務業,支援服務業,公共行政及國防；強制性社會安全,教育業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他服務業
總計,3892907,8542116,3997643,7886249,9747013,5391332,4451766,5989898,3921500,32490882
新北市,643923,422923,626581,933520,1422864,758841,731309,669247,395610,4951887
臺北市,1954847,5581747,1053989,3135422,3311517,1590558,886111,1345521,1082458,5332558
桃園市,124181,245205,417973,872179,781068,264803,428770,483726,143826,2280781
臺中市,177740,556045,423877,677940,1204897,464452,475300,673163,285382,2721166
臺南市,128746,215277,195944,274060,450848,339588,308840,431845,145649,2108126
高雄市,435858,623348,374085,672924,1078615,681004,440635,733928,691520,4178180
宜蘭縣,28196,80270,62845,69438,126772,79988,71151,127192,194486,1048853
新竹縣,53609,10417,115729,209026,157424,83238,104351,93936,42062,1050048
苗栗縣,15907,20082,27782,85193,132354,94366,97684,91086,208436,718879
彰化縣,31416,119796,99953,170378,178661,124641,153777,326893,115442,1273073
南投縣,20114,15422,24863,38876,29396,126670,80368,125553,78703,866297
雲林縣,34490,37019,69073,84927,131357,92400,92022,117355,75091,979305
嘉義縣,25132,36513,28335,24365,60658,90592,57169,66972,60107,230735
屏東縣,38223,198794,225605,62120,151139,127018,118470,175094,63804,816260
臺東縣,6468,15988,6121,31345,7354,67418,38838,71949,6845,212770
花蓮縣,25689,46450,51617,83370,76558,84467,80603,138361,24741,766253
澎湖縣,3415,10894,4084,801,13039,22463,11045,10995,1727,16734
基隆市,70184,100502,75901,181870,180274,115202,74232,88580,99153,1347470
新竹市,50062,124271,75100,196528,173303,95451,132410,114783,100941,712443
嘉義市,18138,78206,34087,73809,69585,49776,52766,96177,104768,849449
金門縣,5961,2948,4101,8100,7229,28952,12503,6867,543,27775
連江縣,608,0,0,56,2101,9441,3413,676,205,1841
