年別,總計,生育給付,傷病給付,失能給付,老年給付,死亡給付,失業給付,醫療給付
69年1980,8231107,592031,109046,246952,1381795,1213968,0,4687316
70年1981,11626083,903593,142938,318598,1615241,1642293,0,7003419
71年1982,15024701,1064137,191839,379271,2306367,1890566,0,9192522
72年1983,17799425,1235559,249623,457240,2931797,2168536,0,10756670
73年1984,22283706,1605342,337501,601590,3084010,2862921,0,13792342
74年1985,28200943,1862738,465208,821449,3757409,3347000,0,17947139
75年1986,30920294,1968917,582890,818727,4978953,3817142,0,18753665
76年1987,38435166,2367894,646812,972164,5150042,4495051,0,24803204
77年1988,42446510,3056971,650963,917238,6679936,5503114,0,25638287
78年1989,53488063,3650756,706789,975563,8025284,7151858,0,32977813
79年1990,56667223,4643707,790731,1054928,9875556,8698800,0,31603501
80年1991,65808939,5325912,959602,1371922,14534229,10462174,0,33155099
81年1992,96502092,6296706,1066715,1566097,12916279,12355272,0,62301024
82年1993,103241626,7561189,1218343,1934190,17591244,14852124,0,60084537
83年1994,128346763,8240826,1380528,2252579,26284371,17085991,0,73102469
84年1995,138442672,5391278,1225742,3336340,64277837,18129298,0,46082178
85年1996,68898093,3557150,1329078,3654279,41746762,18596334,0,14491
86年1997,71811502,3479662,1493933,3986237,43804614,19030884,0,16172
87年1998,89249883,2921526,1801762,8850275,53151800,19555483,0,2969037
88年1999,102437111,3131457,2273835,13019655,62340483,20146397,516371,1008914
89年2000,107018651,3366031,2625701,11123781,61129249,20972751,1664519,6136619
90年2001,129838422,2934533,2591119,10956959,84137766,20925560,7825440,467046
91年2002,168811914,2689447,2481261,10246352,120668543,20651908,10204120,1870284
92年2003,139583169,2492707,2450510,8771951,103200785,20882972,0,1784244
93年2004,148899135,2514024,2681654,8682816,111330077,21862742,0,1827821
94年2005,187880522,2573172,2715772,8413751,149647800,22615048,0,1914979
95年2006,173553028,2642336,2934663,8929945,134399188,22766349,0,1880547
96年2007,193521329,2816589,3046989,8569992,152534198,23313063,0,3240498
97年2008,358294534,2968860,3326565,8623458,317143713,24224578,0,2007360
98年2009,140656106,3083185,3440002,7974511,100611189,22646740,0,2900479
99年2010,131334290,2755303,3678508,7485163,91434891,22845767,0,3134658
100年2011,144482003,3355471,3865797,7272310,103190865,23871050,0,2926510
101年2012,262690503,4031613,3894128,7719435,219523485,24157048,0,3364794
102年2013,280025032,3891028,3535433,7329888,239127229,23454473,0,2686981
103年2014,248740631,6136700,3395961,6867837,205530171,23899598,0,2910364
104年2015,282450879,8629259,3357937,5974976,237426925,24049187,0,3012596
105年2016,325949339,8629649,3321385,5799534,280160735,25262109,0,2775927
