,合計_核付人數,合計_核付金額,失能年金_核付人數_小計,失能年金_核付人數_年金,失能年金_核付人數_年金_職業傷病失能補償一次金,失能年金_核付人數_國併勞,失能年金_核付金額_小計,失能年金_核付金額_年金,失能年金_核付金額_職業傷病失能補償一次金,失能年金_核付金額_國併勞,老年年金_核付人數,老年年金_核付金額,遺屬年金_核付人數,遺屬年金_核付人數_職業災害死亡補償一次金,遺屬年金_核付金額_小計,遺屬年金_核付金額_年金,遺屬年金_核付金額_職業災害死亡補償一次金
98年2009,67218,6566249,731,246,33,485,45082,20648,18016,6418,65632,6425722,855,44,95446,82441,13005
99年2010,121446,15409696,735,478,44,257,102567,58610,24375,19582,118502,14996695,2209,83,310434,282948,27486
100年2011,193836,26631259,1046,679,44,367,126999,86155,23462,17382,188716,25911501,4074,120,592759,556657,36102
101年2012,326545,43838420,1417,941,46,476,173881,123522,26138,24221,318973,42755682,6155,113,908857,875721,33136
102年2013,507411,81678428,1741,1177,45,564,214410,160665,25123,28622,497373,80244303,8297,110,1219715,1187925,31789
103年2014,627934,107251182,2123,1446,69,677,273524,200601,39360,33563,614960,105378840,10851,115,1598819,1564857,33962
104年2015,747748,133192767,2506,1720,58,786,313591,245448,28424,39719,731428,130839763,13814,136,2039413,1998812,40601
105年2016,904556,163426128,2938,2028,60,910,372103,291056,33063,47985,884481,160524694,17137,154,2529330,2483651,45679
1月Jan.,762738,12333972,2536,1745,3,791,27598,22446,1590,3562,746097,12113770,14105,12,192604,188694,3910
2月Feb.,776096,12576162,2571,1765,2,806,27699,22935,1110,3654,759230,12358035,14295,6,190427,188958,1469
3月Mar.,784855,12748730,2604,1784,6,820,29469,23039,2678,3752,767699,12520976,14552,14,198285,194105,4179
4月Apr.,800474,13029416,2639,1814,3,825,28931,23215,1944,3772,782973,12795430,14862,18,205055,199634,5422
5月May,813548,13262454,2686,1849,7,837,30568,24032,2608,3928,795651,13024250,15211,14,207636,202991,4645
6月June,825326,13472837,2712,1869,5,843,31272,23948,3424,3900,807158,13230686,15456,17,210878,205570,5308
7月July,840552,13744570,2740,1892,5,848,31719,24366,3404,3948,822081,13501647,15731,10,211204,209258,1947
8月Aug.,854371,14004174,2793,1934,4,859,32191,25222,2514,4455,835678,13758031,15900,13,213953,210144,3809
9月Sept.,866657,14223756,2826,1959,5,867,31380,24842,2442,4096,847661,13972665,16170,14,219711,215496,4216
10月Oct.,879336,14447902,2852,1969,5,883,31234,24797,2278,4159,860056,14196030,16428,10,220638,217662,2976
11月Nov.,891902,14681923,2904,2008,9,896,35563,26051,5135,4378,872195,14418469,16803,12,227891,224341,3550
12月Dec.,904556,14900230,2938,2028,6,910,34479,26163,3935,4381,884481,14634704,17137,14,231048,226800,4248
