,總計_計,總計_傷病,總計_失能,總計_死亡,農、林、漁、牧業_計,農、林、漁、牧業_傷病,農、林、漁、牧業_失能,農、林、漁、牧業_死亡,礦業及土石採取業_計,礦業及土石採取業_傷病,礦業及土石採取業_失能,礦業及土石採取業_死亡,製造業_計,製造業_傷病,製造業_失能,製造業_死亡,水電燃氣業_計,水電燃氣業_傷病,水電燃氣業_失能,水電燃氣業_死亡,營造業_計,營造業_傷病,營造業_失能,營造業_死亡,批發、零售及餐飲業_計,批發、零售及餐飲業_傷病,批發、零售及餐飲業_失能,批發、零售及餐飲業_死亡,運輸、倉儲及通信業_計,運輸、倉儲及通信業_傷病,運輸、倉儲及通信業_失能,運輸、倉儲及通信業_死亡,金融、保險及不動產業_計,金融、保險及不動產業_傷病,金融、保險及不動產業_失能,金融、保險及不動產業_死亡,工商服務業_計,工商服務業_傷病,工商服務業_失能,工商服務業_死亡,社會服務及個人服務業_計,社會服務及個人服務業_傷病,社會服務及個人服務業_失能,社會服務及個人服務業_死亡,公共行政業_計,公共行政業_傷病,公共行政業_失能,公共行政業_死亡
81年1992,26516,21136,4608,772,668,340,100,228,359,311,40,8,16666,12916,3549,201,51,41,5,5,4805,4276,375,154,1577,1245,293,39,1672,1465,130,77,175,139,20,16,,,,,543,403,96,44,,,,
82年1993,25832,20570,4524,738,510,267,75,168,264,223,31,10,15963,12328,3417,218,56,42,5,9,5112,4571,395,146,1664,1290,327,47,1547,1316,153,78,192,149,25,18,,,,,524,384,96,44,,,,
83年1994,25101,19959,4351,791,487,245,82,160,260,230,24,6,15235,11764,3258,213,52,44,6,2,5178,4593,380,205,1802,1422,319,61,1300,1074,144,82,51,37,10,4,144,113,22,9,550,423,93,34,42,14,13,15
84年1995,22847,17616,4567,664,365,178,71,116,166,134,27,5,13833,10322,3348,163,55,36,12,7,4734,4103,455,176,1791,1356,368,67,1126,903,159,64,64,46,11,7,148,113,21,14,529,416,78,35,36,9,17,10
85年1996,22844,18005,4127,712,389,194,79,116,127,105,18,4,13438,10271,2931,236,32,16,11,5,4962,4349,453,160,1847,1444,338,65,1135,915,159,61,71,61,7,3,158,133,15,10,650,507,104,39,35,10,12,13
86年1997,25271,20358,4225,688,355,197,69,89,96,79,12,5,14579,11330,3039,210,32,21,8,3,5531,4910,433,188,2196,1801,350,45,1356,1123,155,78,73,54,12,7,190,156,21,13,807,677,95,35,56,10,31,15
87年1998,28552,23622,4299,631,383,228,63,92,82,65,14,3,15710,12648,2886,176,45,30,9,6,6750,6040,527,183,2678,2230,391,57,1441,1189,191,61,105,77,24,4,268,232,29,7,1016,851,134,31,74,32,31,11
88年1999,33709,28244,4815,650,479,297,89,93,102,80,16,6,17600,14306,3075,219,47,26,13,8,8257,7420,691,146,3483,2967,459,57,1781,1507,226,48,108,84,14,10,368,310,42,16,1431,1227,169,35,53,20,21,12
89年2000,38862,33053,5207,602,527,351,85,91,92,71,17,4,20158,16715,3262,181,40,19,18,3,9367,8488,723,156,4211,3617,541,53,1919,1637,223,59,165,130,28,7,454,376,65,13,1848,1612,210,26,81,37,35,9
90年2001,38386,33004,4839,543,547,384,98,65,58,50,8,0,19253,16126,2941,186,28,13,11,4,9312,8435,733,144,4568,4015,502,51,1930,1656,230,44,151,113,32,6,476,408,52,16,1971,1766,182,23,92,38,50,4
