年別,總計_計,總計_傷病,總計_失能,總計_死亡,農、林、漁、牧業_計,農、林、漁、牧業_傷病,農、林、漁、牧業_失能,農、林、漁、牧業_死亡,礦業及土石採取業_計,礦業及土石採取業_傷病,礦業及土石採取業_失能,礦業及土石採取業_死亡,製造業_計,製造業_傷病,製造業_失能,製造業_死亡,水電燃氣業_計,水電燃氣業_傷病,水電燃氣業_失能,水電燃氣業_死亡,營造業_計,營造業_傷病,營造業_失能,營造業_死亡,批發、零售及餐飲業_計,批發、零售及餐飲業_傷病,批發、零售及餐飲業_失能,批發、零售及餐飲業_死亡,運輸、倉儲及通信業_計,運輸、倉儲及通信業_傷病,運輸、倉儲及通信業_失能,運輸、倉儲及通信業_死亡,金融、保險及不動產業_計,金融、保險及不動產業_傷病,金融、保險及不動產業_失能,金融、保險及不動產業_死亡,工商服務業_計,工商服務業_傷病,工商服務業_失能,工商服務業_死亡,社會服務及個人服務業_計,社會服務及個人服務業_傷病,社會服務及個人服務業_失能,社會服務及個人服務業_死亡,公共行政業_計,公共行政業_傷病,公共行政業_失能,公共行政業_死亡
81年1992,3.542,2.823,0.616,0.103,2.511,1.278,0.376,0.857,26.469,22.93,2.949,0.59,5.461,4.232,1.163,0.066,1.54,1.238,0.151,0.151,6.777,6.031,0.529,0.217,1.234,0.974,0.229,0.031,2.998,2.627,0.233,0.138,0.386,0.306,0.044,0.035,,,,,0.483,0.359,0.085,0.039,,,,
82年1993,3.27,2.604,0.573,0.093,1.847,0.967,0.272,0.609,18.93,15.99,2.223,0.717,5.181,4.001,1.109,0.071,1.701,1.275,0.152,0.273,6.391,5.715,0.494,0.183,1.187,0.92,0.233,0.034,2.678,2.278,0.265,0.135,0.377,0.292,0.049,0.035,,,,,0.434,0.318,0.08,0.036,,,,
83年1994,3.02,2.401,0.523,0.095,1.703,0.857,0.287,0.559,18.602,16.456,1.717,0.429,4.874,3.763,1.042,0.068,1.596,1.35,0.184,0.061,5.84,5.18,0.429,0.231,1.221,0.963,0.216,0.041,2.215,1.83,0.245,0.14,0.169,0.123,0.033,0.013,0.545,0.428,0.083,0.034,0.444,0.342,0.075,0.027,0.416,0.139,0.129,0.149
84年1995,2.87,2.213,0.574,0.083,1.314,0.641,0.256,0.418,13.588,10.968,2.21,0.409,4.657,3.475,1.127,0.055,1.737,1.137,0.379,0.221,5.599,4.853,0.538,0.208,1.285,0.973,0.264,0.048,1.999,1.603,0.282,0.114,0.203,0.146,0.035,0.022,0.581,0.443,0.082,0.055,0.442,0.348,0.065,0.029,0.36,0.09,0.17,0.1
85年1996,3.063,2.414,0.553,0.095,1.412,0.704,0.287,0.421,11.959,9.887,1.695,0.377,4.805,3.673,1.048,0.084,1.049,0.524,0.36,0.164,6.558,5.748,0.599,0.211,1.449,1.133,0.265,0.051,2.13,1.717,0.298,0.114,0.226,0.194,0.022,0.01,0.658,0.554,0.062,0.042,0.577,0.45,0.092,0.035,0.346,0.099,0.119,0.129
86年1997,3.401,2.74,0.569,0.093,1.251,0.694,0.243,0.314,9.299,7.652,1.162,0.484,5.245,4.076,1.093,0.076,1.055,0.693,0.264,0.099,7.632,6.775,0.597,0.259,1.718,1.409,0.274,0.035,2.591,2.146,0.296,0.149,0.222,0.164,0.036,0.021,0.763,0.626,0.084,0.052,0.728,0.611,0.086,0.032,0.497,0.089,0.275,0.133
87年1998,3.789,3.135,0.57,0.084,1.298,0.773,0.213,0.312,9.09,7.205,1.552,0.333,5.638,4.539,1.036,0.063,1.506,1.004,0.301,0.201,9.365,8.38,0.731,0.254,2.052,1.709,0.3,0.044,2.754,2.273,0.365,0.117,0.292,0.214,0.067,0.011,0.991,0.858,0.107,0.026,0.906,0.759,0.12,0.028,0.643,0.278,0.269,0.096
88年1999,4.415,3.699,0.631,0.085,1.551,0.962,0.288,0.301,12.386,9.715,1.943,0.729,6.305,5.125,1.102,0.078,1.572,0.87,0.435,0.268,11.495,10.33,0.962,0.203,2.61,2.223,0.344,0.043,3.411,2.886,0.433,0.092,0.296,0.23,0.038,0.027,1.246,1.049,0.142,0.054,1.246,1.068,0.147,0.03,0.471,0.178,0.187,0.107
89年2000,4.965,4.223,0.665,0.077,1.637,1.09,0.264,0.283,11.902,9.185,2.199,0.517,7.07,5.862,1.144,0.063,1.351,0.642,0.608,0.101,13.402,12.144,1.034,0.223,3.037,2.609,0.39,0.038,3.651,3.115,0.424,0.112,0.438,0.345,0.074,0.019,1.348,1.117,0.193,0.039,1.571,1.37,0.179,0.022,0.699,0.319,0.302,0.078
90年2001,4.898,4.212,0.618,0.069,1.634,1.147,0.293,0.194,8.53,7.353,1.176,0,6.969,5.837,1.065,0.067,0.958,0.445,0.376,0.137,13.582,12.303,1.069,0.21,3.248,2.855,0.357,0.036,3.657,3.138,0.436,0.083,0.399,0.299,0.085,0.016,1.301,1.115,0.142,0.044,1.63,1.46,0.15,0.019,0.709,0.293,0.385,0.031
