,101年_傷病,101年_失能,101年_不含離職確診_失能,101年_死亡,102年_傷病,102年_失能,102年_不含離職確診_失能,102年_死亡,103年_傷病,103年_失能,103年_不含離職確診_失能,103年_死亡,104年_傷病,104年_失能,104年_不含離職確診_失能,104年_死亡,105年_總計,105年_不含離職確診_總計,105年_傷病,105年_失能,105年_不含離職確診_失能,105年_死亡
總計,601,261,94,46,551,220,76,37,524,206,74,27,695,229,111,51,706,622,544,141,57,21
眼睛疾病,1,0,,0,1,0,0,0,1,0,,0,2,0,,0,0,0,0,0,,0
游離輻射,1,0,,1,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0
異常氣壓,0,0,,0,0,0,0,0,0,0,,0,1,0,,1,0,0,0,0,,0
異常溫度,2,1,1,0,0,0,0,0,1,0,,2,2,0,,2,1,1,1,0,,0
噪音引起之聽力損失,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,,0
職業性下背痛,126,18,17,0,109,13,12,0,106,15,15,0,138,23,20,0,119,119,111,8,8,0
振動引起之疾病,0,0,,0,1,0,0,0,0,0,,0,1,1,1,0,2,2,2,0,,0
手臂頸肩疾病,383,10,9,0,369,12,12,0,348,4,4,0,386,7,7,0,345,345,344,1,1,0
缺氧症,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0
鉛及其化合物,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0
其他重金屬及其化合物,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,1,1,1,0,,0
有機溶劑或化學物質氣體,1,0,,0,1,0,0,0,4,2,2,1,6,2,2,0,4,4,3,1,1,0
生物性危害,21,1,1,0,18,0,0,0,14,0,,0,3,1,1,0,10,10,10,0,,0
職業性氣喘、過敏性肺炎,3,0,,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0
礦工塵肺症及其併發症,10,198,,2,6,167,28,2,7,147,20,3,3,127,15,1,106,28,10,96,18,0
矽肺症及其併發症,1,2,1,0,0,5,1,0,1,6,3,0,2,3,1,1,12,8,2,10,6,0
石綿肺症及其併發症,1,0,,0,3,1,1,0,0,3,2,0,0,0,,1,0,0,0,0,,0
職業性皮膚病,9,0,,0,12,0,0,0,3,0,,0,7,0,,0,8,8,8,0,,0
職業相關癌症,4,0,,2,4,0,0,0,5,4,4,2,89,41,40,16,11,10,4,4,3,3
其他可歸因於職業因素者,10,3,3,1,4,3,3,3,5,2,2,0,16,0,,2,11,11,10,0,,1
腦心血管疾病,28,26,26,38,20,16,16,32,28,20,19,19,36,21,21,26,68,68,36,17,17,15
精神疾病,0,1,1,2,2,1,1,0,0,1,1,0,1,1,1,1,6,6,2,2,2,2
