,總計_單位數,總計_人數,農、林、漁、牧業_單位數,農、林、漁、牧業_人數,礦業及土石採取業_單位數,礦業及土石採取業_人數,製造業_單位數,製造業_人數,電力及燃氣供應業_單位數,電力及燃氣供應業_人數,用水供應及污染整治業_單位數,用水供應及污染整治業_人數,營建工程業_單位數,營建工程業_人數,批發及零售業_單位數,批發及零售業_人數,運輸及倉儲業_單位數,運輸及倉儲業_人數,住宿及餐飲業_單位數,住宿及餐飲業_人數,出版、影音製作、傳播及資通訊服務業_單位數,出版、影音製作、傳播及資通訊服務業_人數,金融及保險業_單位數,金融及保險業_人數,不動產業_單位數,不動產業_人數,專業、科學及技術服務業_單位數,專業、科學及技術服務業_人數,支援服務業_單位數,支援服務業_人數,公共行政及國防；強制性社會安全_單位數,公共行政及國防；強制性社會安全_人數,教育業_單位數,教育業_人數,醫療保健及社會工作服務業_單位數,醫療保健及社會工作服務業_人數,藝術、娛樂及休閒服務業_單位數,藝術、娛樂及休閒服務業_人數,其他服務業_單位數,其他服務業_人數
99年底Endof2010,447838,5880500,1112,10245,397,3676,93567,2050737,230,22873,3026,35911,37155,250283,171346,1313092,8700,183082,12416,194658,8669,173099,6552,316435,10052,77627,26333,255205,11096,213411,2707,124933,13302,180642,23349,329469,1964,30248,15865,114874
100年底Endof2011,460045,6118570,1149,10717,389,3839,94395,2108957,238,23155,3163,34259,38229,260887,174713,1376542,8838,190482,14026,219520,8926,182820,6638,320092,10921,82239,27528,267143,11585,218774,2758,128561,13389,189430,24402,348483,2066,32491,16692,120179
101年底Endof2012,464610,6224341,1159,10854,373,3627,93491,2114538,245,23301,3217,36083,38454,259198,175163,1395205,8891,196236,15766,239460,9155,190172,6652,322357,11530,84626,28235,273436,11874,226523,2731,128282,14105,209468,24288,355107,2160,32677,17121,123191
102年底Endof2013,471214,6310245,1139,11012,351,3005,93166,2123949,261,23348,3294,34062,39185,261022,175951,1409372,9030,200460,17092,257734,9368,195029,6657,322648,12545,89943,29116,278390,12232,233307,2708,125701,15930,230954,23383,350396,2283,33621,17523,126292
103年底Endof2014,480444,6437767,1159,11128,364,2970,93307,2143091,270,23361,3308,34251,40167,265278,177604,1439869,9091,207010,18895,278764,9596,201922,6809,326342,13372,92405,30077,283722,12542,237562,2675,123235,16274,239939,23955,361359,2459,35388,18520,130171
104年底Endof2015,490238,6565561,1201,12101,356,2906,93371,2136266,294,22758,3319,31269,41181,268610,179069,1466162,9198,215972,21030,301753,9989,219407,6979,330100,13499,91241,31024,289836,13101,238075,2690,124123,16360,261714,25196,377769,2957,39578,19424,135921
105年底Endof2016,497764,6674699,1233,12436,345,2875,92914,2134765,318,23498,3362,30378,42016,270516,180143,1491860,9284,221407,23622,324593,10515,226169,7056,335825,13206,89155,31663,298203,13670,251660,2666,123361,16625,259485,26059,395966,3151,42667,19916,139880
1月底EndofJan.,490978,6579046,1201,12312,355,2917,93329,2141169,296,22698,3333,31748,41258,268930,179153,1478707,9224,218685,21238,308841,10056,223559,7000,332229,13441,91421,31098,295932,13192,250983,2700,125055,16334,215695,25278,380677,2956,40541,19536,136947
2月底EndofFeb.,491435,6549686,1200,12135,354,2901,93272,2122396,299,23390,3324,31464,41290,267245,179206,1456951,9218,216112,21401,298219,10100,221959,7013,330842,13421,90147,31153,292765,13241,246319,2699,125676,16320,256636,25351,379037,2973,39712,19600,135780
3月底EndofMar.,491786,6575867,1193,12198,352,2918,93126,2118536,305,23333,3325,31067,41370,267802,179272,1461341,9217,217186,21574,300726,10120,221243,7036,330575,13372,90028,31130,293916,13326,249513,2695,125206,16345,273894,25411,380532,2988,39841,19629,136012
4月底EndofApr.,492250,6594104,1194,12119,356,2909,93158,2118672,304,23236,3343,30755,41446,268492,179248,1463939,9216,217518,21736,303050,10147,222307,7035,330605,13332,89759,31207,294988,13339,253372,2697,126473,16355,277148,25472,382053,2995,40518,19670,136191
5月底EndofMay,492813,6592463,1207,12161,358,2922,93057,2114904,301,23132,3353,30697,41502,268115,179311,1462614,9257,218183,21998,304629,10217,222761,7036,331068,13300,89294,31222,294147,13428,254978,2696,127021,16350,276210,25517,382539,3002,40861,19701,136227
6月底EndofJune,493413,6537718,1213,12275,355,2920,93085,2116783,306,23090,3369,30753,41633,268274,179338,1464722,9258,218629,22205,307419,10251,222542,7034,330117,13288,89130,31245,292968,13476,254148,2681,126885,16404,216367,25527,382631,3023,41839,19722,136226
7月底EndofJuly,494977,6597224,1222,12483,353,2923,93140,2136084,305,23028,3357,30703,41722,270713,179722,1490596,9267,220369,22569,322823,10339,225783,7061,332371,13282,89926,31414,299228,13525,259053,2679,130535,16369,180593,25664,385600,3053,44618,19934,139795
8月底EndofAug.,495802,6613934,1226,12407,349,2905,93105,2127099,302,22945,3364,30800,41799,270479,179901,1480598,9281,220625,22881,318212,10393,225898,7068,332504,13245,89552,31479,296519,13582,258229,2676,128205,16406,224747,25738,389930,3069,42740,19938,139540
9月底EndofSept.,496574,6653573,1222,12382,349,2884,93131,2125870,308,22936,3376,30905,41877,270080,180054,1479857,9296,220701,23082,317468,10444,226292,7074,333645,13233,89507,31508,297868,13610,258533,2680,128475,16459,260123,25816,393566,3089,42495,19966,139986
10月底EndofOct.,497494,6683540,1225,12518,348,2885,93122,2130629,312,22889,3368,31020,41954,271080,180236,1485003,9295,221170,23344,320398,10476,224790,7064,333933,13247,89502,31572,299467,13648,259845,2678,127729,16580,272400,25917,395548,3129,42515,19979,140219
