,總計_單位數,總計_人數,產業勞工及交通公用事業之員工_單位數,產業勞工及交通公用事業之員工_人數,公司、行號之員工_單位數,公司、行號之員工_人數,新聞、文化、公益及合作事業之員工_單位數,新聞、文化、公益及合作事業之員工_人數,政府機關及公、私立學校之員工_單位數,政府機關及公、私立學校之員工_人數,受僱從事漁業生產之勞動者_單位數,受僱從事漁業生產之勞動者_人數,其他各業員工_單位數,其他各業員工_人數
92年底Endof2003,379112,5024816,109782,2147508,224094,2208750,8400,192184,8518,265138,703,2831,27615,208405
93年底Endof2004,394009,5242310,109743,2200122,236766,2351449,8935,200991,8473,268318,687,2528,29405,218902
94年底Endof2005,418635,5369278,113644,2188485,252620,2452845,9490,209851,8435,279647,622,2083,33824,236367
95年底Endof2006,427648,5447373,118116,2243843,255165,2453389,9725,214606,8438,288248,521,1697,35683,245590
96年底Endof2007,429970,5507865,119670,2264871,254695,2478105,9853,215662,8439,295868,493,1524,36820,251835
97年底Endof2008,429428,5420549,119313,2180222,253225,2439877,10036,220519,8462,320219,437,1342,37955,258370
98年底Endof2009,436372,5584169,119813,2203030,257107,2512314,10401,234401,8484,356613,430,1272,40137,276539
99年底Endof2010,447838,5880500,123110,2354686,263356,2648781,10665,240814,8405,346923,413,1203,41889,288093
100年底Endof2011,460045,6118570,127544,2426588,269373,2781463,10867,249713,8473,356474,396,1152,43392,303180
101年底Endof2012,464610,6224341,129462,2451639,271252,2834734,10997,256925,8453,369991,382,1077,44064,309975
102年底Endof2013,471214,6310245,132356,2498151,273655,2858982,11271,261564,8379,372869,345,921,45208,317758
103年底Endof2014,480444,6437767,135677,2549151,278045,2915388,11528,267926,8325,377751,308,804,46561,326747
104年底Endof2015,490238,6565561,139341,2577400,282313,2973855,11770,276295,8423,399052,302,793,48089,338166
1月底EndofJan.,481138,6472274,135916,2571488,278157,2954913,11577,270524,8346,345050,305,800,46837,329499
2月底EndofFeb.,482152,6432630,136209,2545964,278668,2917187,11635,269247,8350,371538,299,793,46991,327901
3月底EndofMar.,482774,6442929,136637,2546685,278757,2911312,11647,269665,8347,386080,299,789,47087,328398
4月底EndofApr.,484133,6465891,137189,2553320,279474,2922899,11657,270134,8350,389696,305,801,47158,329041
5月底EndofMay,485747,6468737,137657,2551268,280217,2926364,11676,270415,8354,389473,310,820,47533,330397
6月底EndofJune,486319,6427071,137931,2555482,280405,2925175,11658,269561,8344,347751,308,815,47673,328287
7月底EndofJuly,487726,6499280,138381,2587466,281222,2989852,11694,272568,8300,316854,313,810,47816,331730
8月底EndofAug.,488532,6509685,138692,2574566,281664,2971551,11679,274317,8336,355918,310,834,47851,332499
9月底EndofSept.,489298,6553185,138935,2573553,281968,2970317,11730,276462,8380,396162,302,802,47983,335889
10月底EndofOct.,490101,6590446,139190,2577216,282303,2981965,11762,277568,8426,414701,303,809,48117,338187
11月底EndofNov.,490693,6616115,139349,2582490,282631,2993027,11796,278387,8434,422116,300,804,48183,339291
12月底EndofDec.,490238,6565561,139341,2577400,282313,2973855,11770,276295,8423,399052,302,793,48089,338166
105年底Endof2016,497764,6674699,141821,2606958,286093,3034752,12002,285258,8418,397043,300,729,49130,349959
1月底EndofJan.,490978,6579046,139631,2593011,282594,3009261,11804,278811,8438,357176,301,792,48210,339995
2月底EndofFeb.,491435,6549686,139730,2570079,282834,2964364,11848,278071,8448,398082,302,782,48273,338308
3月底EndofMar.,491786,6575867,139850,2570423,282999,2971854,11863,279428,8445,414238,300,769,48329,339155
4月底EndofApr.,492250,6594104,140094,2573263,283090,2981082,11901,280121,8446,418509,302,751,48417,340378
5月底EndofMay,492813,6592463,140327,2573156,283372,2980288,11927,280057,8447,418235,306,738,48434,339989
6月底EndofJune,493413,6537718,140705,2576934,283573,2982338,11910,279376,8427,359015,304,742,48494,339313
7月底EndofJuly,494977,6597224,141027,2603384,284565,3040219,11936,282178,8374,326999,302,750,48773,343694
8月底EndofAug.,495802,6613934,141287,2596670,285077,3019758,11933,283322,8425,369589,303,741,48777,343854
9月底EndofSept.,496574,6653573,141549,2595212,285451,3020448,11953,285640,8437,404674,301,752,48883,346847
10月底EndofOct.,497494,6683540,141737,2602472,285971,3029674,11979,286733,8440,415267,302,760,49065,348634
11月底EndofNov.,498049,6715755,141911,2612861,286220,3046712,12013,287860,8434,417545,301,746,49170,350031
12月底EndofDec.,497764,6674699,141821,2606958,286093,3034752,12002,285258,8418,397043,300,729,49130,349959
資料來源：勞動部勞工保險局。,,,,,,,"Source：BureauofLaborInsurance,MOL.",,,,,,,
,,-214-,,,,,,,,-215-,,,,
