年月別,應計保險費,實計保險給付_總計_件數,實計保險給付_總計_金額,實計保險給付_失業給付_件數,實計保險給付_失業給付_金額,實計保險給付_提早就業獎助津貼_件數,實計保險給付_提早就業獎助津貼_金額,實計保險給付_職業訓練生活津貼_件數,實計保險給付_職業訓練生活津貼_金額,實計保險給付_育嬰留職停薪津貼_件數,實計保險給付_育嬰留職停薪津貼_金額,實計保險給付_全民健保保險費補助_件數,實計保險給付_全民健保保險費補助_金額
92年2003,16260940,558987,5972625,325340,5458734,5793,195215,12768,203770,0,0,215086,114906
93年2004,17082766,474039,4457978,212097,3680158,12496,447001,12340,202697,0,0,237106,128122
94年2005,17814770,538623,5423489,250600,4406324,17200,656360,13050,219324,0,0,257773,141481
95年2006,18658809,612639,6151731,276811,4957930,20934,808234,12207,213638,0,0,302687,171928
96年2007,19281118,800474,6837552,298859,5353019,25137,953158,14792,261427,0,0,461686,269947
97年2008,19679573,947846,8243843,370190,6645871,26912,1015568,14673,255053,0,0,536071,327351
98年2009,19466889,2724682,26005177,1119303,20824877,50938,1790409,42619,827170,109861,1720272,1401961,842450
99年2010,20475636,2035243,15896752,494843,9910795,36181,1378625,31455,650982,190281,3128374,1282483,827976
100年2011,21637953,1065604,11368567,286526,5909851,25727,1096930,20182,419823,209532,3570769,523637,371193
101年2012,22615075,1117499,13508990,304638,6491665,29208,1322497,19820,418923,288364,4937642,475469,338264
102年2013,23209155,1265885,15460977,330467,7213048,32122,1445844,24114,518963,338466,5898433,540716,384688
103年2014,23945253,1175775,14934680,285469,6354789,28399,1319011,24113,528143,356731,6388104,481063,344634
104年2015,24746440,1287449,17319390,296620,6643140,28757,1384148,23279,514093,461900,8435577,476893,342432
1月Jan.,2035282,57536,1203068,23896,540076,1992,95270,812,18331,30873,549421,-37,-29
2月Feb.,2033734,44473,910468,16983,378998,1430,67284,984,22578,25108,441627,-32,-18
3月Mar.,2039298,72047,1521154,32819,734973,2444,118984,1944,45394,35040,621937,-200,-134
4月Apr.,2040544,173142,1372456,24674,552143,2079,101670,1628,37969,33489,600494,111272,80181
5月May,2043648,133424,1910067,22623,505884,2152,109580,2113,47511,66989,1218625,39547,28467
6月June,2047340,107365,1394860,22479,501927,2413,118925,2489,55526,37214,688091,42770,30391
7月July,2058116,115392,1574217,25269,561061,3376,157629,2441,54304,41402,770432,42904,30789
8月Aug.,2068857,110071,1508184,25031,568636,2567,117613,2601,56468,39509,736527,40363,28940
9月Sept.,2084750,103964,1366636,22325,499884,2405,111447,2220,47093,36649,679165,40365,29047
10月Oct.,2091910,110756,1562466,27458,612731,2584,122186,2323,49838,40573,750362,37818,27348
11月Nov.,2098601,102087,1356216,23839,532589,2041,94345,1856,39173,35960,662393,38391,27717
12月Dec.,2104360,157192,1639598,29224,654237,3274,169216,1868,39908,39094,716503,83732,59733
105年2016,25716233,1357027,18270985,324946,7335278,30791,1478182,21917,481880,461808,8607505,517565,368140
1月Jan.,2099949,64616,1373167,26897,602319,2556,127171,1066,22615,34151,621073,-54,-11
2月Feb.,2093462,57035,1190878,23879,532445,1581,78220,1160,26107,30465,554114,-50,-7
3月Mar.,2104540,78303,1672135,33054,743747,2917,140834,1444,33414,40968,754055,-80,85
4月Apr.,2105063,188419,1486829,25402,570998,2022,97092,1512,34525,37659,697163,121824,87051
5月May,2142566,115452,1526458,27014,607626,2080,100553,1944,44386,39826,742367,44588,31526
6月June,2143609,119600,1602719,26871,606075,2910,140729,2304,50822,41222,772861,46293,32231
7月July,2142660,117265,1547150,24754,559693,3132,145772,1974,43676,40471,764667,46934,33342
8月Aug.,2154557,117831,1668579,28208,640861,3146,148672,2262,48953,42442,800688,41773,29406
9月Sept.,2171486,109450,1404634,23090,524201,2374,109176,1899,40444,37216,698680,44871,32134
10月Oct.,2178933,116646,1632307,28820,654618,2709,128670,2178,47406,40929,771987,42010,29626
11月Nov.,2186834,113347,1532661,27557,625948,2543,122101,2250,49373,37517,704025,43480,31214
12月Dec.,2192574,159063,1633467,29400,666747,2821,139192,1924,40160,38942,725824,85976,61543
