る,瞶ン计(ン),瞶ン计(ン)_Ω粄﹚ビ叫ン计,瞶ン计(ン)_Ω粄﹚ビ叫ン计,ン计(ン),ン计(ン)_Ω粄﹚ン计,ン计(ン)_Ω粄﹚ン计,肂,崩ざ碞穨计,逼戮癡计
922003,336833,68680,268153,325340,64537,260803,5458734,6456,7004
932004,221510,49506,172004,212097,46154,165943,3680158,10364,5227
942005,254582,59094,195488,250600,57487,193113,4406324,10237,6350
952006,278764,65319,213445,276811,63494,213317,4957930,12158,6006
962007,300089,70247,229842,298859,68563,230296,5353019,25028,8469
972008,389472,117712,271760,370190,106495,263695,6645871,39149,9723
982009,1135469,217316,918153,1119303,208772,910531,20824877,81612,30556
992010,492263,86786,405477,494843,84016,410827,9910795,64993,17338
1002011,290813,66834,223979,286526,64037,222489,5909851,49924,11728
1012012,307032,77458,229574,304638,75821,228817,6491665,48560,7404
1022013,333817,75489,258328,330467,74021,256446,7213048,50310,4933
1032014,287076,66843,220233,285469,65319,220150,6354789,47382,7107
1042015,301078,74225,226853,296620,72623,223997,6643140,53351,6769
1るJan.,26151,8097,18054,23896,7435,16461,540076,3648,325
2るFeb.,22023,5963,16060,16983,4217,12766,378998,2674,295
3るMar.,28922,5385,23537,32819,7281,25538,734973,5319,934
4るApr.,24274,5368,18906,24674,5097,19577,552143,4599,798
5るMay,22401,4900,17501,22623,5223,17400,505884,4247,594
6るJune,23982,5218,18764,22479,4863,17616,501927,4181,889
7るJuly,24042,5460,18582,25269,5548,19721,561061,4350,537
8るAug.,26228,9208,17020,25031,8008,17023,568636,5682,508
9るSept.,22884,5775,17109,22325,6232,16093,499884,6437,470
10るOct.,27013,6446,20567,27458,6642,20816,612731,4511,437
11るNov.,24486,5692,18794,23839,5445,18394,532589,4284,345
12るDec.,28672,6713,21959,29224,6632,22592,654237,3419,637
1052016,327157,76117,251040,324946,74715,250231,7335278,61158,7108
1るJan.,28304,7369,20935,26897,6812,20085,602319,4165,311
2るFeb.,25086,6030,19056,23879,7073,16806,532445,3894,365
3るMar.,31853,7239,24614,33054,6308,26746,743747,6384,1010
4るApr.,25981,5669,20312,25402,5368,20034,570998,5182,656
5るMay,27164,5831,21333,27014,6215,20799,607626,5625,749
6るJune,25898,5270,20628,26871,5532,21339,606075,5069,774
7るJuly,24807,5603,19204,24754,5251,19503,559693,4688,628
8るAug.,28806,7648,21158,28208,7072,21136,640861,5466,774
9るSept.,25744,6498,19246,23090,5931,17159,524201,5625,501
10るOct.,26956,5912,21044,28820,6461,22359,654618,5538,418
11るNov.,27915,6271,21644,27557,6037,21520,625948,5277,525
12るDec.,28643,6777,21866,29400,6655,22745,666747,4245,397
